instance,time_s,conflicts,timed_out,too_fast,too_few_conflicts,kept,reason
43687a48fb119ca61b47c2fc69a71e7d-manthey_single-ordered-initialized-w42-b8.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
436d00b6d41912e800e9855d08c75139-manol-pipe-f7nidw.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
4408f3ebfc37275a23ef57cfcc8aba6d-aws-encryption-sdk-c%3Aaws_cryptosdk_priv_hdr_parse_content_type.cnf,300,4924,TRUE,FALSE,FALSE,TRUE,kept_timeout
44ed91b4ca5a5d8323cab4c268d81fd1-grid-color-12-14-12-cb.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
4501f9a0e9fab5d5cff7133022b1f780-50bits_11.dimacs.cnf,300,997368,TRUE,FALSE,FALSE,TRUE,kept_timeout
4513c58c16e72a34f9f8518db7baeb9e-ktf_TF-3.tf_3_0.02_24.cnf,300,87372,TRUE,FALSE,FALSE,TRUE,kept_timeout
4551c996fc6f5fbe62b43076abb25077-knight_18.cnf,300,131161,TRUE,FALSE,FALSE,TRUE,kept_timeout
45784477d3143f470c0bd0137a1c01ed-sum_of_three_cubes_still_open.cnf,300,38719,TRUE,FALSE,FALSE,TRUE,kept_timeout
45ec40c74fdbf2fe41122ac1e31e6c8e-worker_30_120_30_0.8.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
47135a1fd4c86afbfec0c7879c45268b-SC22_Timetable_C_451_E_46_Cl_30_S_27.cnf,300,87372,TRUE,FALSE,FALSE,TRUE,kept_timeout
47a1a6f5687ed19c5c0f77c2c81f3f81-tseitin_grid_n14_m14.cnf,300,11362814,TRUE,FALSE,FALSE,TRUE,kept_timeout
488b147304549670f31653c932684e2c-sin-mitern28.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
48e9f29a92930f1b367efc5754cb679b-af-synthesis_stb_50_80_7_sat.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
48eacbc152c7710dfd6fe17a8a17199e-SCPC-500-7.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
49f5d904bb2e762219287d33f5621971-ITC2021_Late_1.xml.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
4a85e090bda23cef9bf2aed55d489ab6-sin_depth_miter_5.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
4af0fbe3087b6e3ad54177e16b85ed06-grid-color-14-14-6-cb.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
